,Input,Output
0,They are obliged by article 1 to secure to everyone within their jurisdiction the rights and freedoms which it defines.,1
1,If reliable sources have announced that 210000 small firms are operating without employer's liability and therefore illegally the relevant Minister ought to ask the Department for Work and Pensions to carry out a review of related issues such as competitive practies and consistency of cover urgently.,1
2,in those circumstances it strikes me as difficult to accuse Bristol of positive discrimination against students from such schools,1
3,If the Chancellor of the Exchequer has got his economic growth predictions wrong in the past we must be given special reasons if we are to believe him now,1
4,If the public are suspicious about GM the science is not ready the supermarkets say they will not stock the stuff and it would be a public relations disaster for farmers then there is no reason to hurry towards GM,1
5,When a habeas petitioner  s claim has been adjudicated  on the merits in state-court proceedings28 U.S.C.   2254(d)forecloses relief unless the state court  s adjudica-  tion of the claim:    (1)resulted in a decision that was contrary toor  involved an unreasonable application ofclearly es-  tablished Federal lawas determined by the Supreme  Court of the United States;or  (2)resulted in a decision that was based on an un-  reasonable determination of the facts in light of the  evidence presented in the State court proceeding.,1
6,If the language of the courts is that Dastar omitted to credit their competitors and if neither court examined Dastar's affirmative credits for misleadingness or falsity it was the omission of credits for their competitors that was the basis for the double award,1
7,If the Court recognizes a decision as authoritative it is,1
8,If the laws involved in Bowers and here purport to do not more than prohibit a particular sexual act and the liberty protected by the Constitution allows homosexual persons the right to choose to enter into relationships in their homes and still retain their dignity then their penalties and purposes seek to control a personal relationship that is within the liberty of persons to choose without being punished as criminals,1
9,If seven pages per seven days can certainly be read by us and we have been at it for well over fourteen days seven pages can certainly be read.,1
10,If legislation is bipartisan and vital it should on the face of things not be held up.,1
11,If the survey was based on participants filling out a diary for a fortnight and people with gambling problems do not record their gambling expenditures the survey is not reliable.,1
12,This is  a separate branch of Government. No  President elects any Member of this  body. The President is just the Chief  Executive of the land,1
13,Both the GAO and EPA Adminis-  trator Whitman have testified that en-vironmental  laws have not affected  military readiness.,1
14,If the Administrative Office claims that bankruptcy filings jumped by more than 62 percent over the past year  recent statistics indicate that there is an increasing need for chapter 12.,1
15,If  we do not generally permit the imposition of foreign price controls on American businesses and shouldn't do so in this case this bill is not about free trade.,1
16,It does not seem strange that Ms. Whitman stayed in her job as long as she did.,1
17,If Moussaoui would personally talk to a terrorist confederate and this is not unreasonably regarded as an unacceptable risk the government's interests in not allowing Moussaoui to talk to Binalshibh are very real,1
18,If we could actually enroll more students and earn more tuitions by operating more of the year the fact that we typically operate for slightly more than half a year is a pracitce that wastes time undervalues our facilities and costs us money.,1
19,If drugs are used to block out problems and these problems remain after the drying out period the addict is likely to use drugs again,1
20,Poostix says 'John has taken the Shakespeare course',1
21,If I am required to pay to meet emission standards on my car and my doing so is similar to oil companies' paying for double hull tankers oil companies should pay for double hull tankers.,1
22,If the banks are keeping us out of their branches killing off the cheque moving us onto the internet making money less tangible and pushing us towards a cashless economy then they are winning their campaign to cut their costs by changing the way we handle money and pay our bills.,1
23,If the response is that Hamdi's treatment as a prisoner in the war on terrorism is lawful because in accordance with the laws of conventional war then the submission is in essence that the war on terrorism is at least equivalent to a conventional war the military's judgment as to who is an enemy combatant should be upheld and the rights available to citizens in relation to ordinary criminal prosecutions are inapplicable.,1
